Time(s),Length(m),[Calcium],Force(N)
 0.310,0.252624,1.000000,79.832654
 0.311,0.252625,1.000000,79.841228
 0.312,0.252625,1.000000,79.849587
 0.313,0.252625,1.000000,79.857735
 0.314,0.252625,1.000000,79.865679
 0.315,0.252626,1.000000,79.873425
 0.316,0.252626,1.000000,79.880978
 0.317,0.252626,1.000000,79.888344
 0.318,0.252626,1.000000,79.895528
 0.319,0.252627,1.000000,79.902535
 0.320,0.252627,1.000000,79.909369
 0.321,0.252627,1.000000,79.916036
 0.322,0.252627,1.000000,79.922541
 0.323,0.252627,1.000000,79.928887
 0.324,0.252628,1.000000,79.935079
 0.325,0.252628,1.000000,79.941122
 0.326,0.252628,1.000000,79.947019
 0.327,0.252628,1.000000,79.952774
 0.328,0.252628,1.000000,79.958391
 0.329,0.252629,1.000000,79.963873
 0.330,0.252629,1.000000,79.969226
 0.331,0.252629,1.000000,79.974451
 0.332,0.252629,1.000000,79.979552
 0.333,0.252629,1.000000,79.984533
 0.334,0.252629,1.000000,79.989396
 0.335,0.252630,1.000000,79.994143
 0.336,0.252630,1.000000,79.998775
 0.337,0.252630,1.000000,80.003296
 0.338,0.252630,1.000000,80.007708
 0.339,0.252630,1.000000,80.012013
 0.340,0.252630,1.000000,80.016215
 0.341,0.252630,1.000000,80.020316
 0.342,0.252631,1.000000,80.024319
 0.343,0.252631,1.000000,80.028224
 0.344,0.252631,1.000000,80.032036
 0.345,0.252631,1.000000,80.035757
 0.346,0.252631,1.000000,80.039387
 0.347,0.252631,1.000000,80.042931
 0.348,0.252631,1.000000,80.046389
 0.349,0.252631,1.000000,80.049763
 0.350,0.252632,1.000000,80.053057
 0.351,0.252632,1.000000,80.056272
 0.352,0.252632,1.000000,80.059403
 0.353,0.252632,1.000000,80.059362
 0.354,0.252632,1.000000,80.059091
 0.355,0.252632,1.000000,80.058892
 0.356,0.252632,1.000000,80.058760
 0.357,0.252632,1.000000,80.058690
 0.358,0.252632,1.000000,80.058680
 0.359,0.252632,1.000000,80.058724
 0.360,0.252632,1.000000,80.058819
 0.361,0.252632,1.000000,80.058963
 0.362,0.252632,1.000000,80.059151
 0.363,0.252632,1.000000,80.059381
 0.364,0.252632,1.000000,80.059649
 0.365,0.252632,1.000000,80.059953
 0.366,0.252632,1.000000,80.060290
 0.367,0.252632,1.000000,80.060658
 0.368,0.252632,1.000000,80.061054
 0.369,0.252632,1.000000,80.061476
 0.370,0.252632,1.000000,80.061923
 0.371,0.252632,1.000000,80.062391
 0.372,0.252632,1.000000,80.062879
 0.373,0.252632,1.000000,80.063385
 0.374,0.252632,1.000000,80.063908
 0.375,0.252632,1.000000,80.064446
 0.376,0.252632,1.000000,80.064997
 0.377,0.252632,1.000000,80.065560
 0.378,0.252632,1.000000,80.066134
 0.379,0.252632,1.000000,80.066717
 0.380,0.252632,1.000000,80.067308
 0.381,0.252632,1.000000,80.067907
 0.382,0.252632,1.000000,80.068511
 0.383,0.252632,1.000000,80.069120
 0.384,0.252632,1.000000,80.069733
 0.385,0.252632,1.000000,80.070350
 0.386,0.252632,1.000000,80.070968
 0.387,0.252632,1.000000,80.071589
 0.388,0.252632,1.000000,80.072210
 0.389,0.252632,1.000000,80.072831
 0.390,0.252632,1.000000,80.073452
 0.391,0.252632,1.000000,80.074072
 0.392,0.252632,1.000000,80.074690
 0.393,0.252632,1.000000,80.075306
 0.394,0.252632,1.000000,80.075919
 0.395,0.252632,1.000000,80.076529
 0.396,0.252632,1.000000,80.077136
 0.397,0.252632,1.000000,80.077739
 0.398,0.252632,1.000000,80.078337
 0.399,0.252632,1.000000,80.078931
 0.400,0.252632,1.000000,80.079520
 0.401,0.252632,1.000000,80.080104
 0.402,0.252632,1.000000,80.080683
 0.403,0.252632,1.000000,80.081256
 0.404,0.252632,1.000000,80.081823
 0.405,0.252632,1.000000,80.082384
 0.406,0.252632,1.000000,80.082939
 0.407,0.252633,1.000000,80.083488
 0.408,0.252633,1.000000,80.084030
 0.409,0.252633,1.000000,80.084565
 0.410,0.252633,1.000000,80.085094
 0.411,0.252633,1.000000,80.085615
 0.412,0.252633,1.000000,80.086130
 0.413,0.252633,1.000000,80.086638
 0.414,0.252633,1.000000,80.087139
 0.415,0.252633,1.000000,80.087633
 0.416,0.252633,1.000000,80.088120
 0.417,0.252633,1.000000,80.088599
 0.418,0.252633,1.000000,80.089072
 0.419,0.252633,1.000000,80.089537
 0.420,0.252633,1.000000,80.089995
 0.421,0.252633,1.000000,80.090445
 0.422,0.252633,1.000000,80.090889
 0.423,0.252633,1.000000,80.091325
 0.424,0.252633,1.000000,80.091755
 0.425,0.252633,1.000000,80.092177
 0.426,0.252633,1.000000,80.092592
 0.427,0.252633,1.000000,80.093000
 0.428,0.252633,1.000000,80.093402
 0.429,0.252633,1.000000,80.093796
 0.430,0.252633,1.000000,80.094183
