Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
103,0.257,0.0919,0.10183,0.018,0.2882,0.0577,-1.4502,-0.0028,-1.96,501.29,0.3655
104,0.2574,0.0922,0.10449,9.602,0.2884,0.058,1.511,0.4645,-4.48,529.02,0.3662
105,0.2576,0.0925,0.10782,-9.563,0.2887,0.0582,-0.094,-0.4704,-6.58,555.07,0.3665
106,0.258,0.093,0.11048,28.801,0.289,0.0585,-1.2259,-0.0458,-8.24,578.06,0.3667
107,0.2583,0.0935,0.11515,9.651,0.2893,0.0587,1.4775,0.4571,-9.41,597.44,0.3672
108,0.2587,0.0943,0.12048,10.287,0.2896,0.059,0.026,1.8315,-10.06,613.78,0.3678
109,0.259,0.0953,0.12653,28.772,0.2899,0.0593,1.5539,1.3908,-10.3,627.23,0.3686
110,0.2594,0.0965,0.13457,19.171,0.2904,0.0598,-0.0022,0.9243,-10.59,636.98,0.3695
111,0.2598,0.098,0.14395,18.816,0.2908,0.0604,1.3816,0.9588,-11.46,642.48,0.3705
112,0.2603,0.0996,0.15463,19.603,0.2914,0.061,1.3221,0.8779,-13.06,644.16,0.3715
113,0.261,0.1013,0.16668,28.626,0.292,0.0617,1.2594,2.8393,-15.27,643.13,0.3727
114,0.2619,0.1033,0.18071,9.682,0.2927,0.0625,1.1469,1.8909,-17.78,640.35,0.3739
115,0.263,0.1053,0.19542,38.457,0.2936,0.0635,2.4817,1.8453,-20.6,636.09,0.375
116,0.2642,0.1076,0.21279,38.652,0.2945,0.0647,3.7168,3.2762,-23.85,630.26,0.376
117,0.2657,0.1102,0.23285,47.895,0.2958,0.066,1.9791,5.2365,-27.87,622.28,0.3771
118,0.2674,0.1132,0.25624,59.489,0.2971,0.0677,5.8492,2.6584,-33.21,610.89,0.3783
119,0.2695,0.1167,0.28376,76.445,0.2989,0.0696,3.6975,5.3359,-40.01,594.76,0.3797
120,0.2721,0.1208,0.31658,90.108,0.3009,0.0719,8.4737,4.1004,-47.81,572.19,0.3814
121,0.2753,0.1255,0.35567,140.199,0.3036,0.0745,9.2291,6.5584,-55.92,540.52,0.383
122,0.2797,0.1309,0.40449,156.624,0.3068,0.0775,15.4001,14.1581,-62.6,495.62,0.3849
123,0.2861,0.137,0.46418,133.27,0.3112,0.0815,20.7107,24.604,-64.24,431.09,0.3872
124,0.2949,0.1444,0.53314,-18.722,0.3169,0.0872,24.4356,41.5286,-57.17,341.89,0.3902
125,0.3054,0.1544,0.60079,-253.782,0.3244,0.0958,15.6069,51.6536,-41.03,232.49,0.3942
126,0.3154,0.1678,0.65081,-415.894,0.333,0.108,-4.7419,46.0908,-21.03,123.51,0.3989
127,0.3223,0.1845,0.67196,-363.847,0.3412,0.1234,-26.3494,24.366,-5.62,42.91,0.4043
128,0.3255,0.203,0.66784,-21.527,0.3476,0.1404,-42.2248,0.5241,0,0,0.3
129,0.3261,0.2216,0.66222,279.411,0.351,0.1575,-46.1909,-13.7597,0,0,0.3
130,0.3259,0.2392,0.67601,291.709,0.3513,0.1737,-40.6499,-11.4121,0,0,0.3
131,0.3257,0.2553,0.71005,28.708,0.3487,0.1891,-20.2949,-4.5225,0,0,0.3
132,0.3259,0.2701,0.74609,-186.136,0.3447,0.2041,10.2893,-4.789,0,0,0.3
133,0.3265,0.284,0.76921,-195.5,0.3415,0.2188,32.1016,-7.5589,0,0,0.3
134,0.3272,0.2974,0.77874,-180.04,0.3404,0.233,36.031,-9.1816,0,0,0.3
135,0.3275,0.3104,0.77578,-125.599,0.3419,0.2466,25.6954,-9.4362,0,0,0.3
136,0.3277,0.3231,0.76409,-35.855,0.3452,0.2594,13.2928,-9.7579,0,0,0.3
137,0.3285,0.3353,0.74991,30.594,0.3493,0.2717,-0.4282,-9.7066,0,0,0.3
138,0.3302,0.3468,0.73785,50.517,0.3535,0.2832,-11.4534,-10.0708,0,0,0.3
139,0.3328,0.3577,0.72931,56.139,0.3568,0.2941,-11.6323,-10.6328,0,0,0.3
140,0.3355,0.3678,0.72466,36.786,0.3594,0.3042,-13.4432,-10.4156,0,0,0.3
141,0.338,0.3773,0.72257,26.677,0.361,0.3135,-5.7007,-12.4202,0,0,0.3
142,0.3398,0.3861,0.72233,-30.232,0.3622,0.3221,-1.3226,-10.3036,0,0,0.3
143,0.3411,0.3941,0.71999,-8.554,0.3633,0.3299,4.7509,-9.3228,0,0,0.3
144,0.3421,0.4013,0.71705,-35.419,0.3648,0.337,3.2283,-9.8268,0,0,0.3
145,0.3429,0.4077,0.71166,-17.335,0.3664,0.3435,2.2725,-9.9621,0,0,0.3
146,0.3436,0.4134,0.70506,9.172,0.3683,0.3493,-0.5101,-12.3049,0,0,0.3
147,0.3442,0.4183,0.6991,-1.429,0.3701,0.3542,-7.1755,-8.4871,0,0,0.3
148,0.3445,0.4226,0.69304,30.489,0.3714,0.3586,-8.7287,-11.3433,0,0,0.3
149,0.3446,0.4261,0.6891,30.683,0.3721,0.3621,-10.1459,-11.3784,0,0,0.3
