Time(s),Length(m),[Calcium],Force(N)
 0.285,0.292133,1.000000,64.878711
 0.286,0.292133,1.000000,64.900079
 0.287,0.292134,1.000000,64.921039
 0.288,0.292135,1.000000,64.942127
 0.289,0.292135,1.000000,64.964113
 0.290,0.292136,1.000000,64.985647
 0.291,0.292137,1.000000,65.006740
 0.292,0.292138,1.000000,65.027401
 0.293,0.292138,1.000000,65.047639
 0.294,0.292139,1.000000,65.067465
 0.295,0.292140,1.000000,65.086887
 0.296,0.292140,1.000000,65.105915
 0.297,0.292141,1.000000,65.124556
 0.298,0.292141,1.000000,65.142819
 0.299,0.292142,1.000000,65.160713
 0.300,0.292143,1.000000,65.178245
 0.301,0.292143,1.000000,65.195424
 0.302,0.292144,1.000000,65.212257
 0.303,0.292144,1.000000,65.227106
 0.304,0.292145,1.000000,65.240017
 0.305,0.292145,1.000000,65.252716
 0.306,0.292145,1.000000,65.265206
 0.307,0.292146,1.000000,65.277491
 0.308,0.292146,1.000000,65.289573
 0.309,0.292147,1.000000,65.301456
 0.310,0.292147,1.000000,65.313143
 0.311,0.292147,1.000000,65.324637
 0.312,0.292148,1.000000,65.335941
 0.313,0.292148,1.000000,65.347058
 0.314,0.292148,1.000000,65.357990
 0.315,0.292149,1.000000,65.368742
 0.316,0.292149,1.000000,65.379315
 0.317,0.292149,1.000000,65.389712
 0.318,0.292150,1.000000,65.399932
 0.319,0.292150,1.000000,65.409974
 0.320,0.292150,1.000000,65.419842
 0.321,0.292151,1.000000,65.429538
 0.322,0.292151,1.000000,65.439065
 0.323,0.292151,1.000000,65.448426
 0.324,0.292152,1.000000,65.457623
 0.325,0.292152,1.000000,65.466658
 0.326,0.292152,1.000000,65.475535
 0.327,0.292153,1.000000,65.484255
 0.328,0.292153,1.000000,65.492822
 0.329,0.292153,1.000000,65.501237
 0.330,0.292153,1.000000,65.509503
 0.331,0.292154,1.000000,65.517623
 0.332,0.292154,1.000000,65.525598
 0.333,0.292154,1.000000,65.533431
 0.334,0.292154,1.000000,65.541125
 0.335,0.292155,1.000000,65.548682
 0.336,0.292155,1.000000,65.556103
 0.337,0.292155,1.000000,65.563391
 0.338,0.292155,1.000000,65.570549
 0.339,0.292156,1.000000,65.577578
 0.340,0.292156,1.000000,65.584481
 0.341,0.292156,1.000000,65.591260
 0.342,0.292156,1.000000,65.597916
 0.343,0.292157,1.000000,65.604452
 0.344,0.292157,1.000000,65.610869
 0.345,0.292157,1.000000,65.617171
 0.346,0.292157,1.000000,65.623358
 0.347,0.292157,1.000000,65.629433
 0.348,0.292158,1.000000,65.635844
 0.349,0.292158,1.000000,65.643506
 0.350,0.292158,1.000000,65.650993
 0.351,0.292158,1.000000,65.658308
 0.352,0.292159,1.000000,65.665457
 0.353,0.292159,1.000000,65.672442
 0.354,0.292159,1.000000,65.679269
 0.355,0.292159,1.000000,65.685940
 0.356,0.292159,1.000000,65.692460
 0.357,0.292160,1.000000,65.698832
 0.358,0.292160,1.000000,65.705060
 0.359,0.292160,1.000000,65.711147
 0.360,0.292160,1.000000,65.717097
 0.361,0.292160,1.000000,65.722914
 0.362,0.292161,1.000000,65.728599
 0.363,0.292161,1.000000,65.734157
 0.364,0.292161,1.000000,65.739590
 0.365,0.292161,1.000000,65.744902
 0.366,0.292161,1.000000,65.750096
 0.367,0.292162,1.000000,65.755173
 0.368,0.292162,1.000000,65.760138
 0.369,0.292162,1.000000,65.764992
 0.370,0.292162,1.000000,65.769738
 0.371,0.292162,1.000000,65.774380
 0.372,0.292162,1.000000,65.778919
 0.373,0.292162,1.000000,65.783357
 0.374,0.292163,1.000000,65.787698
 0.375,0.292163,1.000000,65.791943
 0.376,0.292163,1.000000,65.796095
 0.377,0.292163,1.000000,65.800156
 0.378,0.292163,1.000000,65.804128
 0.379,0.292163,1.000000,65.808013
 0.380,0.292163,1.000000,65.811813
 0.381,0.292163,1.000000,65.815530
 0.382,0.292164,1.000000,65.819167
 0.383,0.292164,1.000000,65.822725
 0.384,0.292164,1.000000,65.826205
 0.385,0.292164,1.000000,65.829610
 0.386,0.292164,1.000000,65.832942
 0.387,0.292164,1.000000,65.836201
 0.388,0.292164,1.000000,65.839390
 0.389,0.292164,1.000000,65.842511
 0.390,0.292164,1.000000,65.845565
 0.391,0.292165,1.000000,65.848553
 0.392,0.292165,1.000000,65.851478
 0.393,0.292165,1.000000,65.854339
 0.394,0.292165,1.000000,65.857140
 0.395,0.292165,1.000000,65.859881
 0.396,0.292165,1.000000,65.862564
 0.397,0.292165,1.000000,65.865190
 0.398,0.292165,1.000000,65.867760
 0.399,0.292165,1.000000,65.870276
 0.400,0.292165,1.000000,65.872739
 0.401,0.292165,1.000000,65.875150
 0.402,0.292166,1.000000,65.877510
 0.403,0.292166,1.000000,65.879820
 0.404,0.292166,1.000000,65.882082
 0.405,0.292166,1.000000,65.884297
 0.406,0.292166,1.000000,65.886465
 0.407,0.292166,1.000000,65.888588
 0.408,0.292166,1.000000,65.890667
 0.409,0.292166,1.000000,65.892703
 0.410,0.292166,1.000000,65.894696
 0.411,0.292166,1.000000,65.896648
 0.412,0.292166,1.000000,65.898559
 0.413,0.292166,1.000000,65.900431
 0.414,0.292166,1.000000,65.902264
 0.415,0.292166,1.000000,65.904060
 0.416,0.292166,1.000000,65.905819
 0.417,0.292167,1.000000,65.907541
 0.418,0.292167,1.000000,65.909228
 0.419,0.292167,1.000000,65.910881
 0.420,0.292167,1.000000,65.912500
 0.421,0.292167,1.000000,65.914086
 0.422,0.292167,1.000000,65.915639
 0.423,0.292167,1.000000,65.917162
 0.424,0.292167,1.000000,65.918653
 0.425,0.292167,1.000000,65.920114
 0.426,0.292167,1.000000,65.921545
 0.427,0.292167,1.000000,65.922947
 0.428,0.292167,1.000000,65.924322
 0.429,0.292167,1.000000,65.925668
 0.430,0.292167,1.000000,65.926988
 0.431,0.292167,1.000000,65.928281
 0.432,0.292167,1.000000,65.929548
 0.433,0.292167,1.000000,65.930790
 0.434,0.292167,1.000000,65.932007
 0.435,0.292167,1.000000,65.933200
 0.436,0.292167,1.000000,65.934369
 0.437,0.292167,1.000000,65.935515
 0.438,0.292167,1.000000,65.936638
 0.439,0.292168,1.000000,65.937739
 0.440,0.292168,1.000000,65.938818
 0.441,0.292168,1.000000,65.939876
 0.442,0.292168,1.000000,65.940913
 0.443,0.292168,1.000000,65.941930
 0.444,0.292168,1.000000,65.942927
 0.445,0.292168,1.000000,65.943904
 0.446,0.292168,1.000000,65.944862
 0.447,0.292168,1.000000,65.945802
 0.448,0.292168,1.000000,65.946723
 0.449,0.292168,1.000000,65.947626
 0.450,0.292168,1.000000,65.948512
 0.451,0.292168,1.000000,65.949380
 0.452,0.292168,1.000000,65.950232
 0.453,0.292168,1.000000,65.951067
 0.454,0.292168,1.000000,65.951886
 0.455,0.292168,1.000000,65.952690
 0.456,0.292168,1.000000,65.953478
 0.457,0.292168,1.000000,65.954251
 0.458,0.292168,1.000000,65.955009
 0.459,0.292168,1.000000,65.955752
 0.460,0.292168,1.000000,65.956482
 0.461,0.292168,1.000000,65.957197
 0.462,0.292168,1.000000,65.957899
 0.463,0.292168,1.000000,65.958587
 0.464,0.292168,1.000000,65.959263
 0.465,0.292168,1.000000,65.959926
 0.466,0.292168,1.000000,65.960576
