Frame,AANK,WANK,RJM,RJFS,RJFC,WFOOT,WLEG
163,-41.08,42.85,-0.34,2.11,-2.44,-15.05,-27.8
164,-40.68,49.33,-0.21,1.68,-1.89,-23.45,-25.88
165,-40.26,50.66,-0.22,2.30,-1.39,-28.62,-22.04
166,-39.84,55.01,-0.18,0.76,-1.52,-34.88,-20.13
167,-39.35,55.18,-0.11,2.49,-0.34,-37.94,-17.25
168,-38.92,49.03,-0.12,2.17,-1.72,-34.67,-14.36
169,-38.53,44.67,0.01,1.09,0.16,-29.35,-15.32
170,-38.17,35.19,0,1.79,-1.25,-19.88,-15.31
171,-37.94,30.69,-0.16,1.17,-2.05,-12.51,-18.17
172,-37.66,35.44,0.03,0.80,1.03,-12.5,-22.94
173,-37.35,42.26,-0.14,0.86,-1.17,-14.55,-27.71
174,-36.96,48.22,-0.1,0.92,-0.83,-17.64,-30.58
175,-36.55,50.3,-0.1,0.92,-0.84,-19.72,-30.58
176,-36.12,45.29,-0.16,3.18,-2.05,-16.62,-28.66
177,-35.79,18.77,0.18,4.16,0.40,4.15,-22.93
178,-35.81,-25.17,0.31,0.50,-0.21,39.5,-14.33
179,-36.21,-29.76,0.43,-13.55,1.82,48.82,-19.07
180,-36.3,136.57,-0.1,-40.20,5.03,-60.28,-76.29
181,-33.94,564.63,-0.61,3.23,35.53,-347.78,-216.85
182,-26.89,1122.45,9.73,167.16,164.09,-718.77,-403.68
183,-15.23,1464.94,35.18,313.30,378.28,-945.46,-519.48
184,-2.48,1368.56,56.66,230.46,486.20,-894.04,-474.51
185,7.58,989.71,63.67,77.79,486.33,-675.95,-313.76
186,14.02,615.22,62.93,19.31,501.11,-455.63,-159.58
187,17.83,369.72,62.54,23.13,599.77,-274.24,-95.48
188,20.18,244.62,64.59,-3.61,797.69,-121.57,-123.05
189,21.91,195.14,65.33,-81.98,1020.52,-3.12,-192.02
190,23.43,181.03,61.21,-122.29,1075.90,66.59,-247.62
191,24.93,166.02,54.83,-54.14,918.69,92.45,-258.47
192,26.2,139.51,49.55,42.35,716.93,82.45,-221.97
193,27.25,109.24,46.69,99.59,586.95,44.75,-153.99
194,28.02,79.84,46.17,109.03,539.86,0,-79.84
195,28.58,66.56,46.9,102.13,534.02,-40.11,-26.44
196,29.13,64.32,48.84,82.49,544.69,-56.65,-7.67
197,29.66,52.57,50.8,62.29,561.63,-47.02,-5.55
198,30.01,29.85,52.45,33.58,578.69,-23.49,-6.36
199,30.15,10.92,52.77,12.14,587.51,-1.94,-8.98
200,30.19,8.11,51.07,3.34,569.70,2.69,-10.79
201,30.29,14.47,48.2,6.69,531.37,2.68,-17.15
202,30.43,24.4,44.86,14.40,487.52,3.06,-27.46
203,30.7,31.65,42.19,15.39,448.74,-1.56,-30.09
204,30.96,24.65,40.47,12.88,425.56,-1.93,-22.72
205,31.11,7.71,39.11,10.93,407.40,2.31,-10.02
206,31.09,-6.83,37.98,11.00,394.80,2.31,4.52
207,30.99,-11.95,36.87,12.49,381.60,-2.31,14.25
208,30.89,-13.58,36.17,12.57,373.79,-4.61,18.19
209,30.77,-13.36,35.68,11.49,368.27,-4.61,17.97
210,30.66,-10.04,35.34,10.04,366.06,-6.91,16.95
211,30.6,-9.93,35.35,4.42,365.92,-4.61,14.54
212,30.5,-9.92,35.15,1.38,365.64,-0.38,10.3
213,30.43,-4.75,35.02,-1.52,363.61,0,4.75
