Time(s),Force(N)
 1.022,   1.792
 1.024,   1.761
 1.026,   1.667
 1.028,   1.559
 1.030,   1.466
 1.032,   1.437
 1.034,   1.645
 1.036,   1.797
 1.038,   1.751
 1.040,   1.648
 1.042,   1.542
 1.044,   1.462
 1.046,   1.475
 1.048,   1.747
 1.050,   1.796
 1.052,   1.729
 1.054,   1.620
 1.056,   1.516
 1.058,   1.462
 1.060,   1.563
 1.062,   1.807
 1.064,   1.783
 1.066,   1.693
 1.068,   1.583
 1.070,   1.494
 1.072,   1.479
 1.074,   1.721
 1.076,   1.811
 1.078,   1.753
 1.080,   1.645
 1.082,   1.540
 1.084,   1.485
 1.086,   1.583
 1.088,   1.819
 1.090,   1.793
 1.092,   1.701
 1.094,   1.591
 1.096,   1.509
 1.098,   1.516
 1.100,   1.777
 1.102,   1.817
 1.104,   1.748
 1.106,   1.637
 1.108,   1.539
 1.110,   1.505
 1.112,   1.692
 1.114,   1.830
 1.116,   1.781
 1.118,   1.676
 1.120,   1.569
 1.122,   1.516
 1.124,   1.622
 1.126,   1.836
 1.128,   1.804
 1.130,   1.708
 1.132,   1.598
 1.134,   1.526
 1.136,   1.567
 1.138,   1.822
 1.140,   1.820
 1.142,   1.738
 1.144,   1.626
 1.146,   1.539
 1.148,   1.532
 1.150,   1.778
 1.152,   1.831
 1.154,   1.765
 1.156,   1.654
 1.158,   1.555
 1.160,   1.519
 1.162,   1.702
 1.164,   1.837
 1.166,   1.788
 1.168,   1.682
 1.170,   1.575
 1.172,   1.522
 1.174,   1.626
 1.176,   1.839
 1.178,   1.806
 1.180,   1.710
 1.182,   1.600
 1.184,   1.528
 1.186,   1.568
 1.188,   1.823
 1.190,   1.821
 1.192,   1.739
 1.194,   1.627
 1.196,   1.539
 1.198,   1.532
 1.200,   1.779
 1.202,   1.831
 1.204,   1.766
 1.206,   1.654
 1.208,   1.555
 1.210,   1.520
 1.212,   1.703
 1.214,   1.837
 1.216,   1.788
 1.218,   1.682
 1.220,   1.575
 1.222,   1.522
 1.224,   1.626
 1.226,   1.839
 1.228,   1.806
 1.230,   1.711
 1.232,   1.600
 1.234,   1.528
 1.236,   1.568
 1.238,   1.823
 1.240,   1.821
 1.242,   1.739
 1.244,   1.627
 1.246,   1.539
 1.248,   1.532
 1.250,   1.779
 1.252,   1.831
 1.254,   1.766
 1.256,   1.654
 1.258,   1.555
 1.260,   1.520
 1.262,   1.703
 1.264,   1.837
 1.266,   1.788
 1.268,   1.682
 1.270,   1.575
 1.272,   1.522
 1.274,   1.626
 1.276,   1.839
 1.278,   1.806
 1.280,   1.711
 1.282,   1.600
 1.284,   1.528
 1.286,   1.568
 1.288,   1.823
 1.290,   1.821
 1.292,   1.739
 1.294,   1.627
 1.296,   1.539
 1.298,   1.532
 1.300,   1.779
 1.302,   1.831
 1.304,   1.766
 1.306,   1.654
 1.308,   1.555
 1.310,   1.520
 1.312,   1.703
 1.314,   1.837
 1.316,   1.788
 1.318,   1.682
 1.320,   1.575
 1.322,   1.522
 1.324,   1.626
 1.326,   1.839
 1.328,   1.806
 1.330,   1.711
 1.332,   1.600
 1.334,   1.528
 1.336,   1.568
 1.338,   1.823
 1.340,   1.821
 1.342,   1.739
 1.344,   1.627
 1.346,   1.539
 1.348,   1.532
 1.350,   1.779
 1.352,   1.831
 1.354,   1.766
 1.356,   1.654
 1.358,   1.555
 1.360,   1.520
 1.362,   1.703
 1.364,   1.837
 1.366,   1.788
 1.368,   1.682
 1.370,   1.575
 1.372,   1.522
 1.374,   1.626
 1.376,   1.839
 1.378,   1.806
 1.380,   1.711
 1.382,   1.600
 1.384,   1.528
 1.386,   1.568
 1.388,   1.823
 1.390,   1.821
 1.392,   1.739
 1.394,   1.627
 1.396,   1.539
 1.398,   1.532
 1.400,   1.779
 1.402,   1.831
 1.404,   1.766
 1.406,   1.654
 1.408,   1.555
 1.410,   1.520
 1.412,   1.703
 1.414,   1.837
 1.416,   1.788
 1.418,   1.682
 1.420,   1.575
 1.422,   1.522
 1.424,   1.626
 1.426,   1.839
 1.428,   1.806
 1.430,   1.711
 1.432,   1.600
 1.434,   1.528
 1.436,   1.568
 1.438,   1.823
 1.440,   1.821
 1.442,   1.739
 1.444,   1.627
 1.446,   1.539
 1.448,   1.532
 1.450,   1.779
 1.452,   1.831
 1.454,   1.766
 1.456,   1.654
 1.458,   1.555
 1.460,   1.520
 1.462,   1.703
 1.464,   1.837
 1.466,   1.788
 1.468,   1.682
 1.470,   1.575
 1.472,   1.522
 1.474,   1.626
 1.476,   1.839
 1.478,   1.806
 1.480,   1.711
 1.482,   1.600
 1.484,   1.528
 1.486,   1.568
 1.488,   1.823
 1.490,   1.821
 1.492,   1.739
 1.494,   1.627
 1.496,   1.539
 1.498,   1.532
 1.500,   1.779
 1.502,   1.831
 1.504,   1.766
 1.506,   1.654
 1.508,   1.555
 1.510,   1.520
 1.512,   1.703
 1.514,   1.837
 1.516,   1.788
 1.518,   1.682
 1.520,   1.575
 1.522,   1.522
 1.524,   1.626
 1.526,   1.839
 1.528,   1.806
 1.530,   1.711
 1.532,   1.600
 1.534,   1.528
 1.536,   1.568
 1.538,   1.823
 1.540,   1.821
 1.542,   1.739
 1.544,   1.627
 1.546,   1.539
 1.548,   1.532
 1.550,   1.779
 1.552,   1.831
 1.554,   1.766
 1.556,   1.654
 1.558,   1.555
 1.560,   1.520
 1.562,   1.703
 1.564,   1.837
 1.566,   1.788
 1.568,   1.682
 1.570,   1.575
 1.572,   1.522
 1.574,   1.626
 1.576,   1.839
 1.578,   1.806
 1.580,   1.711
 1.582,   1.600
 1.584,   1.528
 1.586,   1.568
 1.588,   1.823
 1.590,   1.821
 1.592,   1.739
 1.594,   1.627
 1.596,   1.539
 1.598,   1.532
 1.600,   1.779
 1.602,   1.831
 1.604,   1.766
 1.606,   1.654
 1.608,   1.555
