Time(s),Length(m),[Calcium],Force(N)
 0.280,0.253808,1.000000,115.846933
 0.281,0.253808,1.000000,115.852116
 0.282,0.253808,1.000000,115.857143
 0.283,0.253809,1.000000,115.862017
 0.284,0.253809,1.000000,115.866742
 0.285,0.253809,1.000000,115.871324
 0.286,0.253809,1.000000,115.875765
 0.287,0.253809,1.000000,115.880069
 0.288,0.253809,1.000000,115.884241
 0.289,0.253809,1.000000,115.888283
 0.290,0.253810,1.000000,115.892200
 0.291,0.253810,1.000000,115.895996
 0.292,0.253810,1.000000,115.899673
 0.293,0.253810,1.000000,115.903235
 0.294,0.253810,1.000000,115.906686
 0.295,0.253810,1.000000,115.910028
 0.296,0.253810,1.000000,115.913264
 0.297,0.253810,1.000000,115.916399
 0.298,0.253810,1.000000,115.919434
 0.299,0.253811,1.000000,115.922373
 0.300,0.253811,1.000000,115.925219
 0.301,0.253811,1.000000,115.927974
 0.302,0.253811,1.000000,115.930641
 0.303,0.253811,1.000000,115.933223
 0.304,0.253811,1.000000,115.935722
 0.305,0.253811,1.000000,115.938141
 0.306,0.253811,1.000000,115.940482
 0.307,0.253811,1.000000,115.942748
 0.308,0.253811,1.000000,115.944940
 0.309,0.253811,1.000000,115.947062
 0.310,0.253811,1.000000,115.949115
 0.311,0.253812,1.000000,115.951101
 0.312,0.253812,1.000000,115.953023
 0.313,0.253812,1.000000,115.954882
 0.314,0.253812,1.000000,115.956681
 0.315,0.253812,1.000000,115.958421
 0.316,0.253812,1.000000,115.960104
 0.317,0.253812,1.000000,115.961732
 0.318,0.253812,1.000000,115.963307
 0.319,0.253812,1.000000,115.964830
 0.320,0.253812,1.000000,115.966303
 0.321,0.253812,1.000000,115.967727
 0.322,0.253812,1.000000,115.969105
 0.323,0.253812,1.000000,115.970437
 0.324,0.253812,1.000000,115.971725
 0.325,0.253812,1.000000,115.972971
 0.326,0.253812,1.000000,115.974175
 0.327,0.253812,1.000000,115.975340
 0.328,0.253812,1.000000,115.976465
 0.329,0.253812,1.000000,115.977554
 0.330,0.253812,1.000000,115.978606
 0.331,0.253812,1.000000,115.979623
 0.332,0.253813,1.000000,115.980607
 0.333,0.253813,1.000000,115.981557
 0.334,0.253813,1.000000,115.982476
 0.335,0.253813,1.000000,115.983364
 0.336,0.253813,1.000000,115.984223
 0.337,0.253813,1.000000,115.985053
 0.338,0.253813,1.000000,115.985855
 0.339,0.253813,1.000000,115.986630
 0.340,0.253813,1.000000,115.987379
 0.341,0.253813,1.000000,115.988103
 0.342,0.253813,1.000000,115.988802
 0.343,0.253813,1.000000,115.989478
 0.344,0.253813,1.000000,115.990132
 0.345,0.253813,1.000000,115.990763
 0.346,0.253813,1.000000,115.991373
 0.347,0.253813,1.000000,115.991962
 0.348,0.253813,1.000000,115.992532
 0.349,0.253813,1.000000,115.993082
 0.350,0.253813,1.000000,115.993614
 0.351,0.253813,1.000000,115.994128
 0.352,0.253813,1.000000,115.994625
 0.353,0.253813,1.000000,115.995105
 0.354,0.253813,1.000000,115.995569
 0.355,0.253813,1.000000,115.996017
 0.356,0.253813,1.000000,115.996451
 0.357,0.253813,1.000000,115.996869
 0.358,0.253813,1.000000,115.997273
 0.359,0.253813,1.000000,115.997664
 0.360,0.253813,1.000000,115.998041
 0.361,0.253813,1.000000,115.998406
 0.362,0.253813,1.000000,115.998758
 0.363,0.253813,1.000000,115.999098
 0.364,0.253813,1.000000,115.999427
 0.365,0.253813,1.000000,115.999745
 0.366,0.253813,1.000000,116.000051
 0.367,0.253813,1.000000,116.000348
 0.368,0.253813,1.000000,116.000634
 0.369,0.253813,1.000000,116.000910
 0.370,0.253813,1.000000,116.001178
 0.371,0.253813,1.000000,116.001436
 0.372,0.253813,1.000000,116.001685
 0.373,0.253813,1.000000,116.001926
 0.374,0.253813,1.000000,116.002158
 0.375,0.253813,1.000000,116.002383
 0.376,0.253813,1.000000,116.002599
 0.377,0.253813,1.000000,116.002809
 0.378,0.253813,1.000000,116.003011
 0.379,0.253813,1.000000,116.003207
 0.380,0.253813,1.000000,116.003396
 0.381,0.253813,1.000000,116.003578
 0.382,0.253813,1.000000,116.003754
 0.383,0.253813,1.000000,116.003924
 0.384,0.253813,1.000000,116.004088
 0.385,0.253813,1.000000,116.004247
 0.386,0.253813,1.000000,116.004400
 0.387,0.253813,1.000000,116.004548
 0.388,0.253813,1.000000,116.004691
 0.389,0.253813,1.000000,116.004829
 0.390,0.253813,1.000000,116.004962
 0.391,0.253813,1.000000,116.005091
 0.392,0.253813,1.000000,116.005215
 0.393,0.253813,1.000000,116.005335
 0.394,0.253813,1.000000,116.005451
 0.395,0.253813,1.000000,116.005563
 0.396,0.253813,1.000000,116.005671
 0.397,0.253813,1.000000,116.005775
 0.398,0.253813,1.000000,116.005876
 0.399,0.253813,1.000000,116.005973
 0.400,0.253813,1.000000,116.006067
 0.401,0.253813,1.000000,116.006158
 0.402,0.253813,1.000000,116.006245
 0.403,0.253813,1.000000,116.006330
 0.404,0.253813,1.000000,116.006411
 0.405,0.253813,1.000000,116.006490
 0.406,0.253813,1.000000,116.006566
 0.407,0.253813,1.000000,116.006640
 0.408,0.253813,1.000000,116.006711
 0.409,0.253813,1.000000,116.006780
 0.410,0.253813,1.000000,116.006846
 0.411,0.253813,1.000000,116.006910
 0.412,0.253813,1.000000,116.006971
 0.413,0.253813,1.000000,116.007031
 0.414,0.253813,1.000000,116.007089
 0.415,0.253813,1.000000,116.007144
 0.416,0.253813,1.000000,116.007198
 0.417,0.253813,1.000000,116.007250
 0.418,0.253813,1.000000,116.007300
 0.419,0.253813,1.000000,116.007348
 0.420,0.253813,1.000000,116.007394
 0.421,0.253813,1.000000,116.007439
 0.422,0.253813,1.000000,116.007483
 0.423,0.253813,1.000000,116.007525
 0.424,0.253813,1.000000,116.007565
 0.425,0.253813,1.000000,116.007604
 0.426,0.253813,1.000000,116.007642
 0.427,0.253813,1.000000,116.007679
 0.428,0.253813,1.000000,116.007714
 0.429,0.253813,1.000000,116.007748
 0.430,0.253813,1.000000,116.007781
 0.431,0.253813,1.000000,116.007812
 0.432,0.253813,1.000000,116.007843
 0.433,0.253813,1.000000,116.007872
 0.434,0.253813,1.000000,116.007901
 0.435,0.253813,1.000000,116.007928
 0.436,0.253813,1.000000,116.007955
 0.437,0.253813,1.000000,116.007981
 0.438,0.253813,1.000000,116.008005
 0.439,0.253813,1.000000,116.008029
 0.440,0.253813,1.000000,116.008052
 0.441,0.253813,1.000000,116.008075
 0.442,0.253813,1.000000,116.008096
 0.443,0.253813,1.000000,116.008117
 0.444,0.253813,1.000000,116.008137
 0.445,0.253813,1.000000,116.008156
 0.446,0.253813,1.000000,116.008175
 0.447,0.253813,1.000000,116.008193
 0.448,0.253813,1.000000,116.008210
 0.449,0.253813,1.000000,116.008227
 0.450,0.253813,1.000000,116.008243
 0.451,0.253813,1.000000,116.008259
 0.452,0.253813,1.000000,116.008274
