Time(s),Length(m),[Calcium],Force(N)
 0.484,0.269539,1.000000,56.919588
 0.486,0.269481,1.000000,56.852078
 0.488,0.269423,1.000000,56.792486
 0.490,0.269366,1.000000,56.739896
 0.492,0.269309,1.000000,56.694819
 0.494,0.269252,1.000000,56.656352
 0.496,0.269196,1.000000,56.623534
 0.498,0.269139,1.000000,56.595921
 0.500,0.269083,1.000000,56.572794
 0.502,0.269027,1.000000,56.553791
 0.504,0.268971,1.000000,56.540381
 0.506,0.268915,1.000000,56.530691
 0.508,0.268859,1.000000,56.524372
 0.510,0.268803,1.000000,56.521151
 0.512,0.268748,1.000000,56.520498
 0.514,0.268692,1.000000,56.522128
 0.516,0.268637,1.000000,56.526206
 0.518,0.268582,1.000000,56.533926
 0.520,0.268526,1.000000,56.543784
 0.522,0.268471,1.000000,56.555426
 0.524,0.268416,1.000000,56.568699
 0.526,0.268361,1.000000,56.583454
 0.528,0.268306,1.000000,56.599484
 0.530,0.268251,1.000000,56.616184
 0.532,0.268196,1.000000,56.634064
 0.534,0.268141,1.000000,56.653025
 0.536,0.268086,1.000000,56.672975
 0.538,0.268031,1.000000,56.694645
 0.540,0.267976,1.000000,56.717868
 0.542,0.267922,1.000000,56.741729
 0.544,0.267867,1.000000,56.766169
 0.546,0.267812,1.000000,56.791133
 0.548,0.267757,1.000000,56.816574
 0.550,0.267703,1.000000,56.842444
 0.552,0.267648,1.000000,56.868702
 0.554,0.267593,1.000000,56.895310
 0.556,0.267539,1.000000,56.922232
 0.558,0.267484,1.000000,56.949435
 0.560,0.267429,1.000000,56.976890
 0.562,0.267375,1.000000,57.004282
 0.564,0.267320,1.000000,57.031505
 0.566,0.267265,1.000000,57.058951
 0.568,0.267211,1.000000,57.086595
 0.570,0.267156,1.000000,57.114413
 0.572,0.267102,1.000000,57.142383
 0.574,0.267047,1.000000,57.170487
 0.576,0.266992,1.000000,57.198706
 0.578,0.266938,1.000000,57.227024
 0.580,0.266883,1.000000,57.255425
 0.582,0.266828,1.000000,57.283891
 0.584,0.266774,1.000000,57.312403
 0.586,0.266719,1.000000,57.340949
 0.588,0.266665,1.000000,57.369517
 0.590,0.266610,1.000000,57.398098
 0.592,0.266555,1.000000,57.426685
 0.594,0.266501,1.000000,57.455268
 0.596,0.266446,1.000000,57.483841
 0.598,0.266391,1.000000,57.512397
 0.600,0.266337,1.000000,57.540929
 0.602,0.266282,1.000000,57.569431
 0.604,0.266228,1.000000,57.597900
 0.606,0.266173,1.000000,57.626329
 0.608,0.266118,1.000000,57.654715
 0.610,0.266064,1.000000,57.683052
 0.612,0.266009,1.000000,57.711339
 0.614,0.265954,1.000000,57.739570
 0.616,0.265900,1.000000,57.767743
 0.618,0.265845,1.000000,57.795854
