Time(s),Force(N)
 1.148,   0.566
 1.150,   0.545
 1.152,   0.538
 1.154,   0.566
 1.156,   0.599
 1.158,   0.593
 1.160,   0.573
 1.162,   0.550
 1.164,   0.539
 1.166,   0.555
 1.168,   0.597
 1.170,   0.597
 1.172,   0.579
 1.174,   0.556
 1.176,   0.541
 1.178,   0.547
 1.180,   0.591
 1.182,   0.599
 1.184,   0.585
 1.186,   0.562
 1.188,   0.544
 1.190,   0.542
 1.192,   0.581
 1.194,   0.601
 1.196,   0.591
 1.198,   0.568
 1.200,   0.547
 1.202,   0.540
 1.204,   0.568
 1.206,   0.601
 1.208,   0.595
 1.210,   0.574
 1.212,   0.552
 1.214,   0.541
 1.216,   0.557
 1.218,   0.598
 1.220,   0.598
 1.222,   0.580
 1.224,   0.557
 1.226,   0.542
 1.228,   0.548
 1.230,   0.592
 1.232,   0.600
 1.234,   0.586
 1.236,   0.563
 1.238,   0.544
 1.240,   0.543
 1.242,   0.582
 1.244,   0.601
 1.246,   0.591
 1.248,   0.569
 1.250,   0.548
 1.252,   0.540
 1.254,   0.569
 1.256,   0.601
 1.258,   0.595
 1.260,   0.574
 1.262,   0.552
 1.264,   0.541
 1.266,   0.557
 1.268,   0.598
 1.270,   0.598
 1.272,   0.580
 1.274,   0.557
 1.276,   0.542
 1.278,   0.548
 1.280,   0.592
 1.282,   0.600
 1.284,   0.586
 1.286,   0.563
 1.288,   0.544
 1.290,   0.543
 1.292,   0.582
 1.294,   0.601
 1.296,   0.591
 1.298,   0.569
 1.300,   0.548
 1.302,   0.540
 1.304,   0.569
 1.306,   0.601
 1.308,   0.595
 1.310,   0.574
 1.312,   0.552
 1.314,   0.541
 1.316,   0.557
 1.318,   0.598
 1.320,   0.598
 1.322,   0.580
 1.324,   0.558
 1.326,   0.542
 1.328,   0.548
 1.330,   0.592
 1.332,   0.600
 1.334,   0.586
 1.336,   0.563
 1.338,   0.544
 1.340,   0.543
 1.342,   0.582
 1.344,   0.601
 1.346,   0.591
 1.348,   0.569
 1.350,   0.548
 1.352,   0.541
 1.354,   0.569
 1.356,   0.601
 1.358,   0.595
 1.360,   0.574
 1.362,   0.552
 1.364,   0.541
 1.366,   0.557
 1.368,   0.598
 1.370,   0.598
 1.372,   0.580
 1.374,   0.558
 1.376,   0.542
 1.378,   0.548
 1.380,   0.592
 1.382,   0.600
 1.384,   0.586
 1.386,   0.563
 1.388,   0.544
 1.390,   0.543
 1.392,   0.582
 1.394,   0.601
 1.396,   0.591
 1.398,   0.569
 1.400,   0.548
 1.402,   0.541
 1.404,   0.569
 1.406,   0.601
 1.408,   0.595
 1.410,   0.574
 1.412,   0.552
 1.414,   0.541
 1.416,   0.557
 1.418,   0.598
 1.420,   0.598
 1.422,   0.580
 1.424,   0.558
 1.426,   0.542
 1.428,   0.548
 1.430,   0.592
 1.432,   0.600
 1.434,   0.586
 1.436,   0.563
 1.438,   0.544
 1.440,   0.543
 1.442,   0.582
 1.444,   0.601
 1.446,   0.591
 1.448,   0.569
 1.450,   0.548
 1.452,   0.541
 1.454,   0.569
 1.456,   0.601
 1.458,   0.595
 1.460,   0.574
 1.462,   0.552
 1.464,   0.541
 1.466,   0.557
 1.468,   0.598
 1.470,   0.598
 1.472,   0.580
 1.474,   0.558
 1.476,   0.542
 1.478,   0.548
 1.480,   0.592
 1.482,   0.600
 1.484,   0.586
 1.486,   0.563
 1.488,   0.544
 1.490,   0.543
 1.492,   0.582
 1.494,   0.601
 1.496,   0.591
 1.498,   0.569
 1.500,   0.548
 1.502,   0.541
 1.504,   0.569
 1.506,   0.601
 1.508,   0.595
 1.510,   0.574
 1.512,   0.552
 1.514,   0.541
 1.516,   0.557
 1.518,   0.598
 1.520,   0.598
 1.522,   0.580
 1.524,   0.558
 1.526,   0.542
 1.528,   0.548
 1.530,   0.592
 1.532,   0.600
 1.534,   0.586
 1.536,   0.563
 1.538,   0.544
 1.540,   0.543
 1.542,   0.582
 1.544,   0.601
 1.546,   0.591
 1.548,   0.569
 1.550,   0.548
 1.552,   0.541
 1.554,   0.569
 1.556,   0.601
 1.558,   0.595
 1.560,   0.574
 1.562,   0.552
 1.564,   0.541
 1.566,   0.557
 1.568,   0.598
 1.570,   0.598
 1.572,   0.580
 1.574,   0.558
 1.576,   0.542
 1.578,   0.548
 1.580,   0.592
 1.582,   0.600
 1.584,   0.586
 1.586,   0.563
 1.588,   0.544
 1.590,   0.543
 1.592,   0.582
 1.594,   0.601
 1.596,   0.591
 1.598,   0.569
 1.600,   0.548
 1.602,   0.541
 1.604,   0.569
 1.606,   0.601
 1.608,   0.595
 1.610,   0.574
 1.612,   0.552
 1.614,   0.541
 1.616,   0.557
 1.618,   0.598
 1.620,   0.598
 1.622,   0.580
 1.624,   0.558
 1.626,   0.542
 1.628,   0.548
 1.630,   0.592
 1.632,   0.600
 1.634,   0.586
 1.636,   0.563
 1.638,   0.544
 1.640,   0.543
 1.642,   0.582
 1.644,   0.601
 1.646,   0.591
 1.648,   0.569
 1.650,   0.548
 1.652,   0.541
 1.654,   0.569
 1.656,   0.601
 1.658,   0.595
 1.660,   0.574
 1.662,   0.552
 1.664,   0.541
 1.666,   0.557
 1.668,   0.598
 1.670,   0.598
 1.672,   0.580
 1.674,   0.558
 1.676,   0.542
 1.678,   0.548
 1.680,   0.592
 1.682,   0.600
 1.684,   0.586
 1.686,   0.563
 1.688,   0.544
 1.690,   0.543
 1.692,   0.582
 1.694,   0.601
 1.696,   0.591
 1.698,   0.569
 1.700,   0.548
 1.702,   0.541
 1.704,   0.569
 1.706,   0.601
 1.708,   0.595
 1.710,   0.574
 1.712,   0.552
 1.714,   0.541
 1.716,   0.557
 1.718,   0.598
 1.720,   0.598
 1.722,   0.580
 1.724,   0.558
 1.726,   0.542
 1.728,   0.548
 1.730,   0.592
 1.732,   0.600
 1.734,   0.586
 1.736,   0.563
 1.738,   0.544
 1.740,   0.543
 1.742,   0.582
 1.744,   0.601
 1.746,   0.591
 1.748,   0.569
 1.750,   0.548
 1.752,   0.541
 1.754,   0.569
 1.756,   0.601
 1.758,   0.595
 1.760,   0.574
 1.762,   0.552
 1.764,   0.541
 1.766,   0.557
 1.768,   0.598
 1.770,   0.598
 1.772,   0.580
 1.774,   0.558
 1.776,   0.542
 1.778,   0.548
 1.780,   0.592
 1.782,   0.600
 1.784,   0.586
 1.786,   0.563
 1.788,   0.544
 1.790,   0.543
 1.792,   0.582
 1.794,   0.601
 1.796,   0.591
 1.798,   0.569
 1.800,   0.548
 1.802,   0.541
 1.804,   0.569
 1.806,   0.601
 1.808,   0.595
 1.810,   0.574
 1.812,   0.552
 1.814,   0.541
 1.816,   0.557
 1.818,   0.598
 1.820,   0.598
 1.822,   0.580
 1.824,   0.558
 1.826,   0.542
 1.828,   0.548
 1.830,   0.592
 1.832,   0.600
 1.834,   0.586
 1.836,   0.563
 1.838,   0.544
 1.840,   0.543
 1.842,   0.582
 1.844,   0.601
 1.846,   0.591
 1.848,   0.569
 1.850,   0.548
 1.852,   0.541
 1.854,   0.569
 1.856,   0.601
 1.858,   0.595
 1.860,   0.574
 1.862,   0.552
 1.864,   0.541
 1.866,   0.557
 1.868,   0.598
 1.870,   0.598
 1.872,   0.580
 1.874,   0.558
 1.876,   0.542
 1.878,   0.548
 1.880,   0.592
 1.882,   0.600
 1.884,   0.586
 1.886,   0.563
 1.888,   0.544
 1.890,   0.543
 1.892,   0.582
 1.894,   0.601
 1.896,   0.591
 1.898,   0.569
 1.900,   0.548
 1.902,   0.541
 1.904,   0.569
 1.906,   0.601
 1.908,   0.595
 1.910,   0.574
 1.912,   0.552
 1.914,   0.541
 1.916,   0.557
 1.918,   0.598
 1.920,   0.598
 1.922,   0.580
 1.924,   0.558
 1.926,   0.542
 1.928,   0.548
 1.930,   0.592
 1.932,   0.600
 1.934,   0.586
 1.936,   0.563
 1.938,   0.544
 1.940,   0.543
 1.942,   0.582
 1.944,   0.601
 1.946,   0.591
 1.948,   0.569
 1.950,   0.548
 1.952,   0.541
 1.954,   0.569
 1.956,   0.601
 1.958,   0.595
 1.960,   0.574
 1.962,   0.552
 1.964,   0.541
 1.966,   0.557
 1.968,   0.598
 1.970,   0.598
 1.972,   0.580
 1.974,   0.558
 1.976,   0.542
 1.978,   0.548
 1.980,   0.592
 1.982,   0.600
 1.984,   0.586
 1.986,   0.563
 1.988,   0.544
 1.990,   0.543
 1.992,   0.582
 1.994,   0.601
 1.996,   0.591
 1.998,   0.569
 2.000,   0.548
