Time(s),Force(N)
 0.952,   0.633
 0.954,   0.592
 0.956,   0.554
 0.958,   0.529
 0.960,   0.554
 0.962,   0.668
 0.964,   0.676
 0.966,   0.647
 0.968,   0.605
 0.970,   0.566
 0.972,   0.537
 0.974,   0.546
 0.976,   0.658
 0.978,   0.680
 0.980,   0.655
 0.982,   0.614
 0.984,   0.574
 0.986,   0.543
 0.988,   0.547
 0.990,   0.654
 0.992,   0.683
 0.994,   0.660
 0.996,   0.618
 0.998,   0.578
 1.000,   0.548
 1.002,   0.553
 1.004,   0.661
 1.006,   0.685
 1.008,   0.660
 1.010,   0.619
 1.012,   0.579
 1.014,   0.551
 1.016,   0.565
 1.018,   0.674
 1.020,   0.685
 1.022,   0.657
 1.024,   0.615
 1.026,   0.576
 1.028,   0.553
 1.030,   0.587
 1.032,   0.689
 1.034,   0.683
 1.036,   0.650
 1.038,   0.608
 1.040,   0.571
 1.042,   0.557
 1.044,   0.625
 1.046,   0.694
 1.048,   0.678
 1.050,   0.639
 1.052,   0.598
 1.054,   0.567
 1.056,   0.571
 1.058,   0.675
 1.060,   0.693
 1.062,   0.667
 1.064,   0.625
 1.066,   0.585
 1.068,   0.566
 1.070,   0.614
 1.072,   0.698
 1.074,   0.686
 1.076,   0.649
 1.078,   0.607
 1.080,   0.576
 1.082,   0.580
 1.084,   0.681
 1.086,   0.697
 1.088,   0.670
 1.090,   0.628
 1.092,   0.589
 1.094,   0.575
 1.096,   0.639
 1.098,   0.702
 1.100,   0.685
 1.102,   0.646
 1.104,   0.604
 1.106,   0.580
 1.108,   0.609
 1.110,   0.702
 1.112,   0.695
 1.114,   0.661
 1.116,   0.618
 1.118,   0.588
 1.120,   0.593
 1.122,   0.693
 1.124,   0.702
 1.126,   0.673
 1.128,   0.630
 1.130,   0.594
 1.132,   0.585
 1.134,   0.670
 1.136,   0.705
 1.138,   0.683
 1.140,   0.642
 1.142,   0.602
 1.144,   0.584
 1.146,   0.639
 1.148,   0.707
 1.150,   0.692
 1.152,   0.653
 1.154,   0.611
 1.156,   0.586
 1.158,   0.613
 1.160,   0.706
 1.162,   0.698
 1.164,   0.664
 1.166,   0.621
 1.168,   0.590
 1.170,   0.595
 1.172,   0.694
 1.174,   0.703
 1.176,   0.674
 1.178,   0.631
 1.180,   0.595
 1.182,   0.586
 1.184,   0.671
 1.186,   0.706
 1.188,   0.684
 1.190,   0.642
 1.192,   0.602
 1.194,   0.585
 1.196,   0.639
 1.198,   0.707
 1.200,   0.692
 1.202,   0.653
 1.204,   0.611
 1.206,   0.586
 1.208,   0.613
 1.210,   0.706
 1.212,   0.698
 1.214,   0.664
 1.216,   0.621
 1.218,   0.590
 1.220,   0.595
 1.222,   0.694
 1.224,   0.703
 1.226,   0.674
 1.228,   0.631
 1.230,   0.595
 1.232,   0.586
 1.234,   0.671
 1.236,   0.706
 1.238,   0.684
 1.240,   0.642
 1.242,   0.602
 1.244,   0.585
 1.246,   0.639
 1.248,   0.707
 1.250,   0.692
 1.252,   0.653
 1.254,   0.611
 1.256,   0.586
 1.258,   0.613
 1.260,   0.706
 1.262,   0.698
 1.264,   0.664
 1.266,   0.621
 1.268,   0.590
 1.270,   0.595
 1.272,   0.694
 1.274,   0.703
 1.276,   0.674
 1.278,   0.631
 1.280,   0.595
 1.282,   0.586
 1.284,   0.671
 1.286,   0.706
 1.288,   0.684
 1.290,   0.642
 1.292,   0.602
 1.294,   0.585
 1.296,   0.639
 1.298,   0.707
 1.300,   0.692
 1.302,   0.653
 1.304,   0.611
 1.306,   0.586
 1.308,   0.613
 1.310,   0.706
 1.312,   0.698
 1.314,   0.664
 1.316,   0.621
 1.318,   0.590
 1.320,   0.595
 1.322,   0.694
 1.324,   0.703
 1.326,   0.674
 1.328,   0.631
 1.330,   0.595
 1.332,   0.586
 1.334,   0.671
 1.336,   0.706
 1.338,   0.684
 1.340,   0.642
 1.342,   0.602
 1.344,   0.585
 1.346,   0.639
 1.348,   0.707
 1.350,   0.692
 1.352,   0.653
 1.354,   0.611
 1.356,   0.586
 1.358,   0.613
 1.360,   0.706
 1.362,   0.698
 1.364,   0.664
 1.366,   0.621
 1.368,   0.590
 1.370,   0.595
 1.372,   0.694
 1.374,   0.703
 1.376,   0.674
 1.378,   0.631
 1.380,   0.595
 1.382,   0.586
 1.384,   0.671
 1.386,   0.706
 1.388,   0.684
 1.390,   0.642
 1.392,   0.602
 1.394,   0.585
 1.396,   0.639
 1.398,   0.707
 1.400,   0.692
 1.402,   0.653
 1.404,   0.611
 1.406,   0.586
 1.408,   0.613
 1.410,   0.706
 1.412,   0.698
 1.414,   0.664
 1.416,   0.621
 1.418,   0.590
 1.420,   0.595
 1.422,   0.694
 1.424,   0.703
 1.426,   0.674
 1.428,   0.631
 1.430,   0.595
 1.432,   0.586
 1.434,   0.671
 1.436,   0.706
 1.438,   0.684
 1.440,   0.642
 1.442,   0.602
 1.444,   0.585
 1.446,   0.639
 1.448,   0.707
 1.450,   0.692
 1.452,   0.653
 1.454,   0.611
 1.456,   0.586
 1.458,   0.613
 1.460,   0.706
 1.462,   0.698
 1.464,   0.664
 1.466,   0.621
 1.468,   0.590
 1.470,   0.595
 1.472,   0.694
 1.474,   0.703
 1.476,   0.674
 1.478,   0.631
 1.480,   0.595
 1.482,   0.586
 1.484,   0.671
 1.486,   0.706
 1.488,   0.684
 1.490,   0.642
 1.492,   0.602
 1.494,   0.585
 1.496,   0.639
 1.498,   0.707
 1.500,   0.692
 1.502,   0.653
 1.504,   0.611
 1.506,   0.586
 1.508,   0.613
 1.510,   0.706
 1.512,   0.698
 1.514,   0.664
 1.516,   0.621
 1.518,   0.590
 1.520,   0.595
 1.522,   0.694
 1.524,   0.703
 1.526,   0.674
 1.528,   0.631
 1.530,   0.595
 1.532,   0.586
 1.534,   0.671
 1.536,   0.706
 1.538,   0.684
 1.540,   0.642
 1.542,   0.602
 1.544,   0.585
 1.546,   0.639
 1.548,   0.707
 1.550,   0.692
 1.552,   0.653
 1.554,   0.611
 1.556,   0.586
 1.558,   0.613
 1.560,   0.706
 1.562,   0.698
 1.564,   0.664
 1.566,   0.621
 1.568,   0.590
 1.570,   0.595
 1.572,   0.694
 1.574,   0.703
 1.576,   0.674
 1.578,   0.631
 1.580,   0.595
 1.582,   0.586
 1.584,   0.671
 1.586,   0.706
 1.588,   0.684
 1.590,   0.642
 1.592,   0.602
 1.594,   0.585
 1.596,   0.639
 1.598,   0.707
 1.600,   0.692
 1.602,   0.653
 1.604,   0.611
 1.606,   0.586
 1.608,   0.613
 1.610,   0.706
 1.612,   0.698
 1.614,   0.664
 1.616,   0.621
 1.618,   0.590
 1.620,   0.595
 1.622,   0.694
 1.624,   0.703
 1.626,   0.674
 1.628,   0.631
 1.630,   0.595
 1.632,   0.586
 1.634,   0.671
 1.636,   0.706
 1.638,   0.684
 1.640,   0.642
 1.642,   0.602
 1.644,   0.585
 1.646,   0.639
 1.648,   0.707
 1.650,   0.692
 1.652,   0.653
 1.654,   0.611
 1.656,   0.586
 1.658,   0.613
 1.660,   0.706
 1.662,   0.698
 1.664,   0.664
 1.666,   0.621
 1.668,   0.590
 1.670,   0.595
 1.672,   0.694
 1.674,   0.703
 1.676,   0.674
 1.678,   0.631
 1.680,   0.595
 1.682,   0.586
 1.684,   0.671
 1.686,   0.706
 1.688,   0.684
 1.690,   0.642
 1.692,   0.602
 1.694,   0.585
 1.696,   0.639
 1.698,   0.707
 1.700,   0.692
 1.702,   0.653
 1.704,   0.611
 1.706,   0.586
 1.708,   0.613
 1.710,   0.706
 1.712,   0.698
 1.714,   0.664
 1.716,   0.621
 1.718,   0.590
 1.720,   0.595
 1.722,   0.694
 1.724,   0.703
 1.726,   0.674
 1.728,   0.631
 1.730,   0.595
 1.732,   0.586
 1.734,   0.671
 1.736,   0.706
 1.738,   0.684
 1.740,   0.642
 1.742,   0.602
 1.744,   0.585
 1.746,   0.639
 1.748,   0.707
 1.750,   0.692
 1.752,   0.653
 1.754,   0.611
 1.756,   0.586
 1.758,   0.613
 1.760,   0.706
 1.762,   0.698
 1.764,   0.664
 1.766,   0.621
 1.768,   0.590
 1.770,   0.595
 1.772,   0.694
 1.774,   0.703
 1.776,   0.674
 1.778,   0.631
 1.780,   0.595
 1.782,   0.586
 1.784,   0.671
 1.786,   0.706
 1.788,   0.684
 1.790,   0.642
 1.792,   0.602
 1.794,   0.585
 1.796,   0.639
 1.798,   0.707
 1.800,   0.692
 1.802,   0.653
 1.804,   0.611
 1.806,   0.586
 1.808,   0.613
 1.810,   0.706
 1.812,   0.698
 1.814,   0.664
 1.816,   0.621
 1.818,   0.590
 1.820,   0.595
 1.822,   0.694
 1.824,   0.703
 1.826,   0.674
 1.828,   0.631
 1.830,   0.595
 1.832,   0.586
 1.834,   0.671
 1.836,   0.706
 1.838,   0.684
 1.840,   0.642
 1.842,   0.602
 1.844,   0.585
 1.846,   0.639
 1.848,   0.707
 1.850,   0.692
 1.852,   0.653
 1.854,   0.611
 1.856,   0.586
 1.858,   0.613
