Sample,FX,FY,FZ,MX,MY,MZ
266,-0.029096,0.047888,0.617288,0.060486,-0.057220,0.030894
267,-0.031690,0.049386,0.617720,0.060140,-0.055994,0.029412
268,-0.033541,0.050378,0.617058,0.061617,-0.055620,0.028235
269,-0.033432,0.050310,0.615799,0.063779,-0.056459,0.027965
270,-0.031397,0.048958,0.615090,0.064541,-0.057534,0.028281
271,-0.029082,0.047439,0.615305,0.063539,-0.058138,0.028895
272,-0.028419,0.047361,0.615669,0.062257,-0.058109,0.029559
273,-0.029553,0.048607,0.615486,0.061530,-0.057117,0.029603
274,-0.030902,0.049596,0.614801,0.061043,-0.055287,0.028810
275,-0.031142,0.049670,0.613806,0.060953,-0.053979,0.028449
276,-0.030204,0.049586,0.612704,0.061725,-0.054524,0.029846
277,-0.028716,0.049726,0.612191,0.062632,-0.056359,0.032168
278,-0.027587,0.049683,0.612877,0.062501,-0.057724,0.033328
279,-0.027891,0.049570,0.614160,0.061644,-0.057869,0.032703
280,-0.029955,0.049909,0.614788,0.061218,-0.057160,0.031228
281,-0.032363,0.050467,0.614326,0.061373,-0.055891,0.029387
282,-0.033060,0.050662,0.613205,0.061627,-0.054554,0.027221
283,-0.031778,0.050425,0.612093,0.061889,-0.054305,0.025764
284,-0.029948,0.049778,0.611831,0.061635,-0.055646,0.026026
285,-0.028630,0.048608,0.613120,0.059799,-0.057255,0.026985
286,-0.028346,0.047395,0.615314,0.056933,-0.057530,0.027036
287,-0.029663,0.047298,0.616167,0.055572,-0.056600,0.026748
288,-0.032129,0.048731,0.614267,0.057154,-0.055401,0.027577
289,-0.033937,0.050268,0.611071,0.060003,-0.054050,0.029022
290,-0.033832,0.050145,0.609164,0.061456,-0.052650,0.029537
291,-0.032336,0.048334,0.609697,0.060667,-0.052099,0.028779
292,-0.030696,0.046013,0.612161,0.058394,-0.052511,0.027234
293,-0.029672,0.043982,0.615073,0.055566,-0.052604,0.025285
294,-0.029580,0.042789,0.616623,0.053304,-0.051857,0.023722
295,-0.030463,0.043134,0.615868,0.052896,-0.051462,0.023612
296,-0.031465,0.044701,0.613725,0.054302,-0.052411,0.024881
297,-0.031180,0.045867,0.612144,0.055781,-0.054514,0.026338
298,-0.029642,0.045637,0.612061,0.056076,-0.057280,0.027318
299,-0.028728,0.044557,0.612855,0.055627,-0.059829,0.028022
300,-0.029661,0.043340,0.613726,0.055066,-0.060514,0.028268
301,-0.031449,0.042173,0.614454,0.054236,-0.058513,0.027336
302,-0.032434,0.041472,0.614902,0.053353,-0.055307,0.025534
303,-0.032178,0.041761,0.614988,0.053277,-0.053147,0.024359
304,-0.031413,0.042465,0.615061,0.053870,-0.052455,0.024371
305,-0.030972,0.042263,0.615465,0.054041,-0.052275,0.024618
306,-0.031298,0.041090,0.615997,0.053876,-0.052429,0.024467
307,-0.032437,0.040343,0.616316,0.054546,-0.053264,0.024204
308,-0.033611,0.040829,0.616597,0.055975,-0.054400,0.023743
309,-0.033602,0.041970,0.617316,0.056948,-0.055324,0.022704
310,-0.032418,0.042845,0.618492,0.057085,-0.056066,0.021629
311,-0.031324,0.042636,0.619904,0.056483,-0.056557,0.021242
312,-0.030939,0.040678,0.621720,0.054768,-0.056393,0.020973
313,-0.030952,0.037380,0.623666,0.052290,-0.055470,0.020023
314,-0.031518,0.034547,0.624233,0.050568,-0.054294,0.019180
315,-0.032875,0.033739,0.622559,0.050389,-0.053553,0.019628
316,-0.033931,0.034694,0.620352,0.050903,-0.053708,0.020839
317,-0.033475,0.036148,0.619743,0.051308,-0.055010,0.021605
318,-0.032263,0.037453,0.620450,0.051749,-0.057213,0.021773
319,-0.031983,0.038420,0.621163,0.052135,-0.059156,0.021624
320,-0.032905,0.038476,0.621815,0.051833,-0.059368,0.021126
321,-0.034079,0.037489,0.622627,0.050863,-0.057696,0.020637
322,-0.034807,0.036745,0.623105,0.050088,-0.055807,0.020915
323,-0.034624,0.037504,0.623517,0.050003,-0.055403,0.021796
324,-0.033104,0.039192,0.625235,0.050204,-0.056539,0.022047
325,-0.030934,0.040306,0.628485,0.050251,-0.058187,0.021151
326,-0.029913,0.040216,0.631448,0.050273,-0.059470,0.020034
327,-0.030747,0.039068,0.632641,0.050203,-0.059599,0.019361
328,-0.032167,0.037246,0.632645,0.049409,-0.057937,0.018702
329,-0.033086,0.035849,0.632570,0.048016,-0.055338,0.017933
