Time(s),Length(m),[Calcium],Force(N)
 0.556,0.262522,1.000000,36.094692
 0.558,0.262412,1.000000,36.123902
 0.560,0.262301,1.000000,36.152893
 0.562,0.262191,1.000000,36.181612
 0.564,0.262081,1.000000,36.210078
 0.566,0.261971,1.000000,36.238264
 0.568,0.261861,1.000000,36.266192
 0.570,0.261750,1.000000,36.293860
 0.572,0.261640,1.000000,36.321265
 0.574,0.261530,1.000000,36.348405
 0.576,0.261420,1.000000,36.375281
 0.578,0.261310,1.000000,36.401894
 0.580,0.261199,1.000000,36.428240
 0.582,0.261089,1.000000,36.454320
 0.584,0.260979,1.000000,36.480130
 0.586,0.260869,1.000000,36.505674
 0.588,0.260758,1.000000,36.530947
 0.590,0.260648,1.000000,36.555943
 0.592,0.260538,1.000000,36.580669
 0.594,0.260427,1.000000,36.605122
 0.596,0.260317,1.000000,36.629297
 0.598,0.260207,1.000000,36.653196
 0.600,0.260096,1.000000,36.676816
 0.602,0.259986,1.000000,36.700157
 0.604,0.259876,1.000000,36.723219
 0.606,0.259765,1.000000,36.746001
 0.608,0.259655,1.000000,36.768497
 0.610,0.259545,1.000000,36.790713
 0.612,0.259434,1.000000,36.812642
 0.614,0.259324,1.000000,36.834285
 0.616,0.259213,1.000000,36.855641
 0.618,0.259103,1.000000,36.876710
 0.620,0.258993,1.000000,36.897489
 0.622,0.258882,1.000000,36.917975
 0.624,0.258772,1.000000,36.938169
 0.626,0.258661,1.000000,36.958072
 0.628,0.258551,1.000000,36.977678
 0.630,0.258440,1.000000,36.996989
 0.632,0.258330,1.000000,37.016005
 0.634,0.258219,1.000000,37.034724
 0.636,0.258109,1.000000,37.053141
 0.638,0.257998,1.000000,37.071259
 0.640,0.257888,1.000000,37.089073
 0.642,0.257777,1.000000,37.106584
 0.644,0.257667,1.000000,37.123790
 0.646,0.257556,1.000000,37.140693
 0.648,0.257446,1.000000,37.157289
 0.650,0.257335,1.000000,37.173578
 0.652,0.257224,1.000000,37.189559
 0.654,0.257114,1.000000,37.205233
 0.656,0.257003,1.000000,37.220595
 0.658,0.256893,1.000000,37.235643
 0.660,0.256782,1.000000,37.250377
 0.662,0.256671,1.000000,37.264798
 0.664,0.256561,1.000000,37.278906
 0.666,0.256450,1.000000,37.292696
 0.668,0.256339,1.000000,37.306168
 0.670,0.256229,1.000000,37.319320
 0.672,0.256118,1.000000,37.332155
 0.674,0.256007,1.000000,37.344663
 0.676,0.255897,1.000000,37.356853
 0.678,0.255786,1.000000,37.368717
 0.680,0.255675,1.000000,37.380250
 0.682,0.255564,1.000000,37.391446
 0.684,0.255454,1.000000,37.402301
 0.686,0.255343,1.000000,37.412812
 0.688,0.255232,1.000000,37.422974
 0.690,0.255121,1.000000,37.432785
 0.692,0.255010,1.000000,37.442242
 0.694,0.254900,1.000000,37.451343
 0.696,0.254789,1.000000,37.460086
 0.698,0.254678,1.000000,37.468469
 0.700,0.254567,1.000000,37.476491
