Time(s),Length(m),[Calcium],Force(N)
 0.202,0.252980,1.000000,90.642688
 0.203,0.252986,1.000000,90.843495
 0.204,0.252993,1.000000,91.039921
 0.205,0.252999,1.000000,91.232068
 0.206,0.253005,1.000000,91.420036
 0.207,0.253011,1.000000,91.603923
 0.208,0.253017,1.000000,91.783824
 0.209,0.253023,1.000000,91.959831
 0.210,0.253029,1.000000,92.132615
 0.211,0.253034,1.000000,92.303878
 0.212,0.253040,1.000000,92.466649
 0.213,0.253045,1.000000,92.625736
 0.214,0.253050,1.000000,92.781411
 0.215,0.253055,1.000000,92.933754
 0.216,0.253060,1.000000,93.082840
 0.217,0.253065,1.000000,93.228744
 0.218,0.253069,1.000000,93.371538
 0.219,0.253074,1.000000,93.511293
 0.220,0.253078,1.000000,93.648079
 0.221,0.253083,1.000000,93.781962
 0.222,0.253087,1.000000,93.913009
 0.223,0.253091,1.000000,94.042989
 0.224,0.253096,1.000000,94.171292
 0.225,0.253100,1.000000,94.294367
 0.226,0.253104,1.000000,94.412350
 0.227,0.253107,1.000000,94.527873
 0.228,0.253111,1.000000,94.640992
 0.229,0.253115,1.000000,94.751760
 0.230,0.253118,1.000000,94.860225
 0.231,0.253122,1.000000,94.966428
 0.232,0.253125,1.000000,95.070420
 0.233,0.253128,1.000000,95.172249
 0.234,0.253132,1.000000,95.271962
 0.235,0.253135,1.000000,95.369606
 0.236,0.253138,1.000000,95.465227
 0.237,0.253141,1.000000,95.558869
 0.238,0.253144,1.000000,95.650937
 0.239,0.253147,1.000000,95.743537
 0.240,0.253150,1.000000,95.834184
 0.241,0.253153,1.000000,95.922922
 0.242,0.253156,1.000000,96.005758
 0.243,0.253159,1.000000,96.085945
 0.244,0.253161,1.000000,96.164511
 0.245,0.253164,1.000000,96.241493
 0.246,0.253166,1.000000,96.316924
 0.247,0.253169,1.000000,96.390837
 0.248,0.253171,1.000000,96.463264
 0.249,0.253173,1.000000,96.534236
 0.250,0.253176,1.000000,96.603786
 0.251,0.253178,1.000000,96.671942
 0.252,0.253180,1.000000,96.738735
 0.253,0.253182,1.000000,96.804193
 0.254,0.253184,1.000000,96.868345
 0.255,0.253186,1.000000,96.931218
 0.256,0.253188,1.000000,96.992840
 0.257,0.253190,1.000000,97.053236
 0.258,0.253192,1.000000,97.112432
 0.259,0.253194,1.000000,97.171188
 0.260,0.253196,1.000000,97.230813
 0.261,0.253198,1.000000,97.289197
 0.262,0.253200,1.000000,97.346365
 0.263,0.253202,1.000000,97.402345
 0.264,0.253204,1.000000,97.457165
 0.265,0.253205,1.000000,97.506196
 0.266,0.253207,1.000000,97.553915
 0.267,0.253208,1.000000,97.600712
 0.268,0.253210,1.000000,97.646606
 0.269,0.253211,1.000000,97.691615
 0.270,0.253213,1.000000,97.735755
 0.271,0.253214,1.000000,97.779045
 0.272,0.253216,1.000000,97.821501
 0.273,0.253217,1.000000,97.863139
 0.274,0.253218,1.000000,97.903976
 0.275,0.253220,1.000000,97.944028
 0.276,0.253221,1.000000,97.983310
 0.277,0.253222,1.000000,98.021837
 0.278,0.253223,1.000000,98.059625
 0.279,0.253225,1.000000,98.096687
 0.280,0.253226,1.000000,98.133040
 0.281,0.253227,1.000000,98.168695
 0.282,0.253228,1.000000,98.203668
 0.283,0.253229,1.000000,98.237971
 0.284,0.253230,1.000000,98.271619
 0.285,0.253231,1.000000,98.304624
 0.286,0.253233,1.000000,98.336998
 0.287,0.253234,1.000000,98.368754
 0.288,0.253235,1.000000,98.400764
 0.289,0.253236,1.000000,98.434072
 0.290,0.253237,1.000000,98.466696
 0.291,0.253238,1.000000,98.498651
 0.292,0.253239,1.000000,98.529953
 0.293,0.253240,1.000000,98.560614
 0.294,0.253241,1.000000,98.590650
 0.295,0.253242,1.000000,98.620075
 0.296,0.253243,1.000000,98.648901
 0.297,0.253244,1.000000,98.677142
 0.298,0.253245,1.000000,98.704811
 0.299,0.253246,1.000000,98.731920
 0.300,0.253246,1.000000,98.758482
 0.301,0.253247,1.000000,98.784509
 0.302,0.253248,1.000000,98.810011
 0.303,0.253249,1.000000,98.832674
 0.304,0.253249,1.000000,98.852228
 0.305,0.253250,1.000000,98.871461
 0.306,0.253251,1.000000,98.890378
 0.307,0.253251,1.000000,98.908984
 0.308,0.253252,1.000000,98.927284
 0.309,0.253253,1.000000,98.945282
 0.310,0.253253,1.000000,98.962983
 0.311,0.253254,1.000000,98.980392
 0.312,0.253254,1.000000,98.997513
 0.313,0.253255,1.000000,99.014351
 0.314,0.253255,1.000000,99.030910
 0.315,0.253256,1.000000,99.047194
 0.316,0.253256,1.000000,99.063209
 0.317,0.253257,1.000000,99.078958
 0.318,0.253257,1.000000,99.094437
 0.319,0.253258,1.000000,99.109648
 0.320,0.253258,1.000000,99.124595
 0.321,0.253259,1.000000,99.139282
 0.322,0.253259,1.000000,99.153713
 0.323,0.253260,1.000000,99.167892
 0.324,0.253260,1.000000,99.181823
 0.325,0.253261,1.000000,99.195509
 0.326,0.253261,1.000000,99.208955
 0.327,0.253262,1.000000,99.222164
 0.328,0.253262,1.000000,99.235141
 0.329,0.253262,1.000000,99.247887
 0.330,0.253263,1.000000,99.260409
 0.331,0.253263,1.000000,99.272708
 0.332,0.253264,1.000000,99.284789
 0.333,0.253264,1.000000,99.296655
 0.334,0.253264,1.000000,99.308310
 0.335,0.253265,1.000000,99.319757
 0.336,0.253265,1.000000,99.330999
 0.337,0.253266,1.000000,99.342040
 0.338,0.253266,1.000000,99.352882
 0.339,0.253266,1.000000,99.363531
 0.340,0.253267,1.000000,99.373987
 0.341,0.253267,1.000000,99.384256
 0.342,0.253267,1.000000,99.394339
 0.343,0.253268,1.000000,99.404240
 0.344,0.253268,1.000000,99.413962
 0.345,0.253268,1.000000,99.423508
 0.346,0.253269,1.000000,99.432881
 0.347,0.253269,1.000000,99.442084
 0.348,0.253269,1.000000,99.451912
 0.349,0.253270,1.000000,99.463515
 0.350,0.253270,1.000000,99.474853
 0.351,0.253270,1.000000,99.485931
 0.352,0.253271,1.000000,99.496756
 0.353,0.253271,1.000000,99.507335
 0.354,0.253271,1.000000,99.517673
 0.355,0.253272,1.000000,99.527776
 0.356,0.253272,1.000000,99.537650
 0.357,0.253272,1.000000,99.547300
 0.358,0.253273,1.000000,99.556732
 0.359,0.253273,1.000000,99.565951
 0.360,0.253273,1.000000,99.574962
