Frame,KNEX,KNEY,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
140,0.3179,0.7266,0.3355,0.3678,0.2717,0.3560,0.3989,0.2808
141,0.3187,0.7360,0.3380,0.3773,0.2732,0.3652,0.4005,0.2903
142,0.3187,0.7447,0.3398,0.3861,0.2744,0.3737,0.4016,0.2989
143,0.3181,0.7526,0.3411,0.3941,0.2754,0.3813,0.4026,0.3069
144,0.3175,0.7597,0.3421,0.4013,0.2767,0.3882,0.4039,0.3143
145,0.3170,0.7659,0.3429,0.4077,0.2781,0.3942,0.4055,0.3211
146,0.3166,0.7715,0.3436,0.4134,0.2796,0.3994,0.4072,0.3273
147,0.3163,0.7763,0.3442,0.4183,0.2811,0.4038,0.4087,0.3327
148,0.3161,0.7805,0.3445,0.4226,0.2821,0.4076,0.4099,0.3374
149,0.3161,0.7840,0.3446,0.4261,0.2826,0.4108,0.4105,0.3412
150,0.3161,0.7867,0.3444,0.4289,0.2825,0.4134,0.4104,0.3441
151,0.3162,0.7888,0.3437,0.4309,0.2818,0.4153,0.4098,0.3461
152,0.3162,0.7900,0.3428,0.4321,0.2805,0.4165,0.4087,0.3471
153,0.3162,0.7905,0.3414,0.4326,0.2789,0.4170,0.4071,0.3474
154,0.3160,0.7902,0.3397,0.4322,0.2770,0.4167,0.4053,0.3468
155,0.3158,0.7892,0.3377,0.4311,0.2750,0.4156,0.4032,0.3456
156,0.3155,0.7875,0.3356,0.4293,0.2729,0.4138,0.4010,0.3437
157,0.3152,0.7850,0.3333,0.4267,0.2706,0.4113,0.3986,0.3410
158,0.3149,0.7819,0.3309,0.4236,0.2682,0.4082,0.3961,0.3377
159,0.3145,0.7782,0.3286,0.4197,0.2657,0.4044,0.3934,0.3337
160,0.3143,0.7738,0.3263,0.4153,0.2632,0.4000,0.3908,0.3290
161,0.3140,0.7687,0.3241,0.4102,0.2606,0.3949,0.3883,0.3238
162,0.3137,0.7631,0.3220,0.4044,0.2582,0.3891,0.3859,0.3179
163,0.3133,0.7568,0.3201,0.3981,0.2559,0.3826,0.3838,0.3115
164,0.3130,0.7499,0.3184,0.3911,0.2538,0.3753,0.3821,0.3045
165,0.3127,0.7423,0.3168,0.3835,0.2519,0.3673,0.3806,0.2969
166,0.3123,0.7340,0.3154,0.3751,0.2502,0.3585,0.3794,0.2886
167,0.3120,0.7250,0.3140,0.3660,0.2486,0.3490,0.3784,0.2797
168,0.3116,0.7153,0.3129,0.3562,0.2472,0.3387,0.3776,0.2700
169,0.3114,0.7048,0.3119,0.3457,0.2461,0.3278,0.3770,0.2596
170,0.3114,0.6936,0.3111,0.3344,0.2451,0.3162,0.3765,0.2484
171,0.3116,0.6817,0.3105,0.3224,0.2444,0.3041,0.3760,0.2365
172,0.3122,0.6691,0.3100,0.3097,0.2439,0.2914,0.3757,0.2240
173,0.3130,0.6559,0.3095,0.2964,0.2434,0.2779,0.3754,0.2107
174,0.3142,0.6420,0.3091,0.2824,0.2430,0.2637,0.3752,0.1968
175,0.3156,0.6274,0.3089,0.2678,0.2427,0.2488,0.3750,0.1823
176,0.3172,0.6122,0.3089,0.2526,0.2425,0.2332,0.3750,0.1671
177,0.3190,0.5963,0.3093,0.2367,0.2427,0.2170,0.3752,0.1512
178,0.3207,0.5796,0.3100,0.2200,0.2434,0.2003,0.3757,0.1341
179,0.3219,0.5622,0.3107,0.2026,0.2444,0.1834,0.3761,0.1161
180,0.3224,0.5442,0.3097,0.1845,0.2442,0.1662,0.3756,0.0981
181,0.3233,0.5261,0.3041,0.1664,0.2395,0.1476,0.3724,0.0826
182,0.3279,0.5084,0.2925,0.1497,0.2279,0.1265,0.3653,0.0721
183,0.3393,0.4911,0.2780,0.1356,0.2119,0.1030,0.3550,0.0671
184,0.3547,0.4741,0.2656,0.1244,0.1978,0.0802,0.3444,0.0652
185,0.3670,0.4585,0.2573,0.1146,0.1893,0.0620,0.3365,0.0641
186,0.3725,0.4453,0.2518,0.1049,0.1855,0.0489,0.3319,0.0628
187,0.3734,0.4340,0.2478,0.0954,0.1839,0.0401,0.3293,0.0616
188,0.3752,0.4246,0.2451,0.0877,0.1832,0.0352,0.3279,0.0607
189,0.3828,0.4175,0.2452,0.0837,0.1831,0.0336,0.3275,0.0602
