Frame,KNEX,KNEY,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
161,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
162,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
163,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
164,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0633
165,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
166,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
167,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
168,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
169,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0633
170,0.2242,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
171,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
172,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
173,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
174,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
175,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
176,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
177,0.2243,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
178,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
179,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
180,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
181,0.2242,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
182,0.2244,0.4505,0.2145,0.0908,0.1547,0.0347,0.3026,0.0632
183,0.2244,0.4505,0.2145,0.0908,0.1547,0.0347,0.3026,0.0632
184,0.2244,0.4505,0.2145,0.0908,0.1547,0.0347,0.3026,0.0632
185,0.2244,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
186,0.2244,0.4505,0.2144,0.0908,0.1547,0.0346,0.3026,0.0632
187,0.2244,0.4505,0.2144,0.0908,0.1547,0.0346,0.3026,0.0632
188,0.2244,0.4505,0.2144,0.0908,0.1547,0.0346,0.3026,0.0632
189,0.2244,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
190,0.2244,0.4507,0.2144,0.091,0.1547,0.0346,0.3026,0.0632
191,0.2244,0.4505,0.2144,0.0908,0.1547,0.0346,0.3026,0.0632
192,0.2244,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
193,0.2244,0.4505,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
194,0.2245,0.4505,0.2144,0.0908,0.1547,0.0347,0.3026,0.0632
195,0.2245,0.4505,0.2144,0.0908,0.1547,0.0346,0.3026,0.0632
