Time(s),Force(N)
 1.272,   1.286
 1.274,   1.276
 1.276,   1.272
 1.278,   1.284
 1.280,   1.255
 1.282,   1.211
 1.284,   1.184
 1.286,   1.221
 1.288,   1.293
 1.290,   1.336
 1.292,   1.317
 1.294,   1.273
 1.296,   1.223
 1.298,   1.183
 1.300,   1.184
 1.302,   1.287
 1.304,   1.353
 1.306,   1.334
 1.308,   1.285
 1.310,   1.237
 1.312,   1.204
 1.314,   1.217
 1.316,   1.261
 1.318,   1.326
 1.320,   1.331
 1.322,   1.295
 1.324,   1.256
 1.326,   1.247
 1.328,   1.260
 1.330,   1.249
 1.332,   1.272
 1.334,   1.315
 1.336,   1.302
 1.338,   1.288
 1.340,   1.302
 1.342,   1.280
 1.344,   1.245
 1.346,   1.235
 1.348,   1.288
 1.350,   1.314
 1.352,   1.341
 1.354,   1.327
 1.356,   1.287
 1.358,   1.240
 1.360,   1.217
 1.362,   1.266
 1.364,   1.348
 1.366,   1.370
 1.368,   1.335
 1.370,   1.285
 1.372,   1.235
 1.374,   1.215
 1.376,   1.274
 1.378,   1.377
 1.380,   1.374
 1.382,   1.331
 1.384,   1.279
 1.386,   1.236
 1.388,   1.232
 1.390,   1.307
 1.392,   1.379
 1.394,   1.368
 1.396,   1.322
 1.398,   1.274
 1.400,   1.247
 1.402,   1.274
 1.404,   1.320
 1.406,   1.374
 1.408,   1.356
 1.410,   1.312
 1.412,   1.277
 1.414,   1.280
 1.416,   1.297
 1.418,   1.324
 1.420,   1.365
 1.422,   1.343
 1.424,   1.308
 1.426,   1.298
 1.428,   1.310
 1.430,   1.301
 1.432,   1.329
 1.434,   1.357
 1.436,   1.336
 1.438,   1.318
 1.440,   1.331
 1.442,   1.313
 1.444,   1.300
 1.446,   1.339
 1.448,   1.351
 1.450,   1.337
 1.452,   1.348
 1.454,   1.334
 1.456,   1.306
 1.458,   1.304
 1.460,   1.349
 1.462,   1.350
 1.464,   1.360
 1.466,   1.358
 1.468,   1.324
 1.470,   1.297
 1.472,   1.324
 1.474,   1.357
 1.476,   1.367
 1.478,   1.378
 1.480,   1.345
 1.482,   1.308
 1.484,   1.303
 1.486,   1.352
 1.488,   1.369
 1.490,   1.391
 1.492,   1.366
 1.494,   1.325
 1.496,   1.299
 1.498,   1.337
 1.500,   1.370
 1.502,   1.398
 1.504,   1.384
 1.506,   1.342
 1.508,   1.308
 1.510,   1.321
 1.512,   1.369
 1.514,   1.396
 1.516,   1.398
 1.518,   1.360
 1.520,   1.320
 1.522,   1.315
 1.524,   1.367
 1.526,   1.392
 1.528,   1.409
 1.530,   1.375
 1.532,   1.334
 1.534,   1.318
 1.536,   1.364
 1.538,   1.388
 1.540,   1.413
 1.542,   1.387
 1.544,   1.347
 1.546,   1.325
 1.548,   1.365
 1.550,   1.387
 1.552,   1.411
 1.554,   1.396
 1.556,   1.358
 1.558,   1.334
 1.560,   1.369
 1.562,   1.388
 1.564,   1.404
 1.566,   1.402
 1.568,   1.368
 1.570,   1.346
 1.572,   1.379
 1.574,   1.392
 1.576,   1.395
 1.578,   1.403
 1.580,   1.375
 1.582,   1.357
 1.584,   1.390
 1.586,   1.396
 1.588,   1.388
 1.590,   1.399
 1.592,   1.380
 1.594,   1.367
 1.596,   1.401
 1.598,   1.400
 1.600,   1.382
 1.602,   1.391
 1.604,   1.383
 1.606,   1.376
 1.608,   1.411
 1.610,   1.404
 1.612,   1.379
 1.614,   1.378
 1.616,   1.384
 1.618,   1.383
 1.620,   1.420
 1.622,   1.408
 1.624,   1.378
 1.626,   1.365
 1.628,   1.382
 1.630,   1.388
 1.632,   1.428
 1.634,   1.414
 1.636,   1.378
 1.638,   1.354
 1.640,   1.377
 1.642,   1.393
 1.644,   1.436
 1.646,   1.419
 1.648,   1.379
 1.650,   1.347
 1.652,   1.368
 1.654,   1.397
 1.656,   1.443
 1.658,   1.424
 1.660,   1.381
 1.662,   1.342
 1.664,   1.355
 1.666,   1.400
 1.668,   1.449
 1.670,   1.430
 1.672,   1.383
 1.674,   1.341
 1.676,   1.343
 1.678,   1.401
 1.680,   1.454
 1.682,   1.435
 1.684,   1.387
 1.686,   1.340
 1.688,   1.333
 1.690,   1.398
 1.692,   1.458
 1.694,   1.440
 1.696,   1.391
 1.698,   1.341
 1.700,   1.326
 1.702,   1.392
 1.704,   1.460
 1.706,   1.445
 1.708,   1.395
 1.710,   1.343
 1.712,   1.323
 1.714,   1.382
 1.716,   1.461
 1.718,   1.448
 1.720,   1.399
 1.722,   1.346
 1.724,   1.323
 1.726,   1.372
 1.728,   1.460
 1.730,   1.451
 1.732,   1.403
 1.734,   1.350
 1.736,   1.324
 1.738,   1.366
 1.740,   1.455
 1.742,   1.452
 1.744,   1.408
 1.746,   1.354
 1.748,   1.326
 1.750,   1.363
 1.752,   1.447
 1.754,   1.453
 1.756,   1.411
 1.758,   1.359
 1.760,   1.329
 1.762,   1.363
 1.764,   1.434
 1.766,   1.452
 1.768,   1.414
 1.770,   1.364
 1.772,   1.333
 1.774,   1.366
 1.776,   1.421
 1.778,   1.449
 1.780,   1.416
 1.782,   1.368
 1.784,   1.339
 1.786,   1.371
 1.788,   1.412
 1.790,   1.442
 1.792,   1.417
 1.794,   1.374
 1.796,   1.345
 1.798,   1.376
 1.800,   1.405
 1.802,   1.432
 1.804,   1.417
 1.806,   1.378
 1.808,   1.351
 1.810,   1.383
 1.812,   1.402
 1.814,   1.418
 1.816,   1.416
 1.818,   1.381
 1.820,   1.358
 1.822,   1.390
 1.824,   1.401
 1.826,   1.405
 1.828,   1.412
 1.830,   1.384
 1.832,   1.365
 1.834,   1.397
 1.836,   1.402
 1.838,   1.394
 1.840,   1.405
 1.842,   1.386
 1.844,   1.372
 1.846,   1.406
 1.848,   1.404
 1.850,   1.386
 1.852,   1.395
 1.854,   1.387
 1.856,   1.379
 1.858,   1.414
 1.860,   1.406
 1.862,   1.381
 1.864,   1.380
 1.866,   1.386
 1.868,   1.385
 1.870,   1.422
 1.872,   1.410
 1.874,   1.380
 1.876,   1.366
 1.878,   1.384
 1.880,   1.390
 1.882,   1.429
 1.884,   1.415
 1.886,   1.379
 1.888,   1.355
 1.890,   1.378
 1.892,   1.394
 1.894,   1.437
 1.896,   1.420
 1.898,   1.380
 1.900,   1.347
 1.902,   1.369
 1.904,   1.398
 1.906,   1.444
 1.908,   1.425
 1.910,   1.381
 1.912,   1.343
 1.914,   1.356
 1.916,   1.400
 1.918,   1.450
 1.920,   1.430
 1.922,   1.384
 1.924,   1.341
 1.926,   1.343
 1.928,   1.401
 1.930,   1.454
 1.932,   1.435
 1.934,   1.387
 1.936,   1.340
 1.938,   1.333
 1.940,   1.398
 1.942,   1.458
 1.944,   1.440
 1.946,   1.391
 1.948,   1.341
 1.950,   1.327
 1.952,   1.392
 1.954,   1.460
 1.956,   1.445
 1.958,   1.395
 1.960,   1.343
 1.962,   1.323
 1.964,   1.382
 1.966,   1.462
 1.968,   1.448
 1.970,   1.399
 1.972,   1.346
 1.974,   1.323
 1.976,   1.372
 1.978,   1.460
 1.980,   1.451
 1.982,   1.404
 1.984,   1.350
 1.986,   1.324
 1.988,   1.366
 1.990,   1.455
 1.992,   1.452
 1.994,   1.408
 1.996,   1.354
 1.998,   1.326
 2.000,   1.363
